protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|P54819|KAD2_HUMAN	53	41	37	48	35	32	39	44
sp|Q6UWM9|UD2A3_HUMAN	40	57	43	40	32	31	40	38
sp|P12814|ACTN1_HUMAN	63	36	34	67	21	37	28	33
sp|Q9HCN8|SDF2L_HUMAN	48	36	39	39	36	42	35	23
sp|P12236|ADT3_HUMAN	43	37	29	40	32	33	47	78
sp|Q99623|PHB2_HUMAN	50	40	32	54	40	31	38	39
sp|P55884|EIF3B_HUMAN	37	36	47	41	28	47	19	18
sp|P56199|ITA1_HUMAN	53	21	41	50	21	43	37	43
sp|Q13586|STIM1_HUMAN	38	48	40	41	34	33	34	34
sp|Q10471|GALT2_HUMAN	47	38	46	39	25	42	11	13
sp|P12956|XRCC6_HUMAN	38	35	42	39	34	42	34	31
sp|Q9NZ01|TECR_HUMAN	43	40	36	44	27	43	42	39
sp|P53618|COPB_HUMAN	24	72	24	18	51	24	9	6
sp|P02794|FRIH_HUMAN	60	20	35	60	25	43	35	38
sp|P54652|HSP72_HUMAN	44	41	35	37	32	37	48	31
sp|P04899|GNAI2_HUMAN	53	30	38	42	33	36	36	33
